day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
0,85068.9343611794,12520.83313625037,183568.0399539137,0.0,45.463684607489995,137699.959670389,33332.39198071523,230698.27429693937,3510.806896167232,9689.010421184246,79245.88987566477,5.0
1,81686.34552198066,9222.926639370755,181138.7062939875,0.0,9.549915420583455,89937.99525467501,52942.33296009077,182837.9892085494,3852.32451965162,9808.34901228829,25137.464651114286,2.5
2,74282.2277414797,12718.290867376581,179631.2269494696,0.0,64.07780926232249,72744.65405712098,52715.17703444534,166144.18481656778,3820.347890298138,11036.07619680474,18837.8855433579,0.0
3,43233.53351548544,21090.793715777003,184730.55401373847,0.0,182.68778205455527,129222.50127918081,20069.13663826365,239337.94820427525,3989.2491795334554,10875.206355542281,110156.75622528704,6.0
4,28717.25271219476,28608.065492480848,180270.1662421571,0.0,432.0411521518143,135104.49707179624,32788.25688317393,235143.05111515522,3912.344441808275,10805.491496198678,65978.93959684235,5.0
5,74536.66728448782,10408.890510540134,180566.20968676067,0.0,66.13274436654135,51822.34328379361,53054.452323650534,117450.05665725855,3844.9957616674765,11111.21643757082,16591.073369676058,0.0
6,103382.83606298114,4951.827759039985,177269.73960815356,0.0,5.0306230807223,49250.91999854764,52328.99934462347,90492.41274687972,3792.515256381334,8985.984883279629,15848.682552721593,0.0
7,42894.60701553894,19445.22059719135,182413.78904837588,0.0,313.92392533721164,89486.81906751191,53795.08534924853,200846.30977361999,3949.787113483931,11110.271102794397,40530.47710983439,19.75
8,18893.59706464108,49155.73218638482,196234.14615789658,0.0,605.3626748814396,240567.5766357159,0.0,359885.28771248437,4139.702073258241,11849.126664783123,147808.467356925,9.0
9,39697.03239413033,31366.46031051253,194463.2617483208,0.0,337.22323129234127,220297.69980914798,0.0,336310.93001752405,4113.216177961123,11639.705616234249,132842.91837303143,8.0
