day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
0,29619.196355239077,3735.9254631166527,67533.2061528165,0.0,19.283176570780064,20897.982310058163,14111.79658279131,49318.351392162396,1316.344435329549,2629.005155542056,6939.5588357851,22.25
1,24040.48738019474,4786.731946610379,67588.57992929805,0.0,35.73146248351916,20009.85179910279,14105.248185305096,46819.734544876155,1295.1581812992479,2907.9821419488835,6463.641110152615,22.5
2,25985.283551533357,5292.211163504875,67275.66166784937,0.0,30.426899265190958,18931.85486111374,13919.881568646697,43736.080121416,1304.5745539207028,2906.290502790583,5391.855921969824,0.0
3,19398.597154926258,6025.792707087209,67113.1473594632,0.0,42.12925014946545,29481.46964173793,6807.059186919521,56073.46758140764,1330.397602045279,2791.873204147676,25865.61376880777,7.0
4,12350.39006605902,8374.14096342262,66565.1802359057,0.0,114.4276388415544,17925.387027989545,13810.948630263425,42939.7376065407,1294.4510574442613,2882.782513264542,5671.576436228296,0.0
5,26563.017398480086,3669.1759283761307,65562.65556142284,0.0,24.53188595176902,12757.802823695656,13465.898664307017,28544.192836759237,1271.0134249325286,2832.677186927792,4001.2331165265236,1.75
6,35134.34542202389,2126.5865864128605,65048.177428372524,0.0,2.7759751732574434,12489.691308276784,13440.413168845827,23023.64599415371,1268.4297844241323,2369.7965204600023,4191.135012461352,0.25
7,17266.02748245872,7190.143190567396,68028.39895721924,0.0,117.59911611583568,19751.13192499643,14183.828955139663,46079.39467624473,1303.6538669744007,2922.0401229926165,7650.16597344051,22.75
8,22959.346622259352,5203.0610937713,69070.32851206047,0.0,51.052909277007494,24210.596454604034,14272.232321203555,54976.732983233174,1392.1838814648625,2927.394148355672,11046.274738675,21.0
9,22313.603946568048,9562.350746303799,70255.52053136616,0.0,85.10536684388642,46975.90464802155,0.0,74698.23342872922,1372.2259846567633,2947.241330846865,25933.149436747193,8.0
10,21795.430378199642,5577.676307781224,66064.35182372802,0.0,51.08199645172502,17303.161143162255,13586.954767747678,40495.213700669934,1282.4608538380687,2862.819443313041,4754.21084841892,1.75
11,23314.976892002425,9580.259118331618,69487.21583452486,0.0,68.65624807874106,46666.1570866047,0.0,74207.27754787353,1364.0286927191369,2889.36280378664,25907.68763393834,8.0
12,25710.836719676674,4153.962943191682,65049.805661063074,0.0,15.190147317908718,13936.664018889845,13523.793509028894,32486.679558286065,1267.5384938755358,2810.76591536561,4993.332069794677,0.0
13,30678.503081199153,2552.4759439385803,66385.04853120273,0.0,10.12527972983321,12935.616394934663,13708.010871188335,23249.864659612533,1293.8197951583259,2701.7544641130735,4263.406622913943,0.5
14,15657.65223520133,7005.956357758286,67794.56995455481,0.0,91.85082115974754,19837.03416265985,14246.038731258695,46277.969843289175,1309.3411832457766,2931.017424535632,7651.3028412383765,22.75
15,18097.470362017513,6803.622049608939,68411.1040240259,0.0,91.7858987427661,19991.253730064465,14354.087289781228,46644.92720533901,1319.3779215644356,2957.5594681276357,7768.306346171718,22.75
16,21444.819053633706,5698.395797282694,67844.74024147996,0.0,65.4531323468519,19850.395895774738,14252.587128744912,46309.29375636198,1309.8099778755952,2932.970883386442,7714.532167484792,22.75
17,21552.062574647516,5431.435833792206,65553.04579425609,0.0,35.57978253814821,16918.80078243827,13529.612402959996,40786.46353087616,1276.9771835427975,2846.4740799639458,5472.812894856365,0.25
18,31949.55508737057,3565.2943439524,67345.13044851324,0.0,9.96217645966277,19706.02611508871,14147.812768965487,45983.78431135141,1298.896313655655,2613.2509033188335,7631.039810799587,22.75
19,35328.500422414494,2766.9337469631027,65095.76278648133,0.0,2.5228158163427192,12451.45942128734,13402.18492565404,29011.248150220745,1264.8496864152778,2534.184899263963,4356.276352308925,0.25
20,50535.210657153526,1282.127394600003,64551.50593494168,0.0,0.0,12632.000436655686,13217.4150835604,22202.811719837984,1247.4872153882457,2231.462910864667,3870.4654413887592,2.25
21,26625.478401308083,3458.087988202979,65879.72061747315,0.0,17.152328576736828,16544.180225545024,13611.223245177742,38195.632896825125,1275.5884469674834,2704.4355151412196,5630.976773700105,0.0
22,29870.207087344283,3842.3259863592407,64714.28680329318,0.0,9.099597077795396,17861.12651694262,13325.728439270475,41583.882051805565,1257.8043616754724,2606.854378546579,4884.841191705155,1.0
23,33922.72438494847,3707.6304928289455,66975.01046491906,0.0,6.333953871398947,18798.320250844867,13813.13853996576,43278.43076659806,1303.809461140763,2644.7814830793777,4823.359464878376,2.0
24,31899.247344147134,3576.4217048923733,65412.075399836045,0.0,10.175193097431292,16975.493081854947,13386.256490990805,39760.813440969105,1263.5172978069713,2785.8801344577296,4694.827370502034,1.5
25,32402.769421741803,3882.6896452101987,66454.15498887411,0.0,8.098015695003344,18481.287756227986,13650.668506400663,43176.15719192221,1288.3596702252673,2666.9557083811687,5519.239025966369,0.25
26,36613.160037874135,2429.4125050349794,65404.86773392842,0.0,2.690607928716592,12724.522949748034,13488.19847283557,28696.799944116876,1273.0739625307258,2550.7538645952254,4052.497528237966,1.0
27,27410.90161021225,2944.688691555998,65370.890569736,0.0,10.254564251310407,12169.217176201515,13606.178071981634,24968.77336251639,1275.6527410966607,2672.2584002130034,4484.8958980693415,0.0
28,26112.46336300234,4128.0120422977825,67597.49422749506,0.0,21.25175088899584,20051.38900100186,14170.73216016724,47137.54760543339,1303.649868713344,2850.2024372457263,8106.637501494851,22.5
29,33254.783262722034,3640.954262865929,65389.80651566119,0.0,5.113115930155523,18217.47389177414,13475.455725104977,42046.74753563926,1271.9352551442428,2561.5410498924684,4745.8364549250955,1.75
30,27508.25217971438,4131.470353094419,64965.419789584295,0.0,9.39291501970069,18310.42983674237,13453.155916576437,42154.009387431266,1269.8319430652261,2586.9434064243974,4640.468419562362,2.0
31,24151.745375239603,4429.101394013011,66591.36825373549,0.0,14.917094036391036,18312.165747630504,13749.424801312782,42549.70165510982,1297.7960890741333,2874.217861137105,5352.274706568064,3.0
32,25244.711347665045,4662.821597512077,68565.32053611518,0.0,12.781826551788154,20319.103785378138,14189.049598018335,45385.55826178563,1339.2921159357993,2943.5056798201667,5224.236935354337,2.75
33,21246.803477077527,4033.63571174238,66608.31000003238,0.0,18.921159295434492,13238.237765788612,13848.1810962249,29575.01362735776,1307.100945892964,2884.8465212454357,4006.6065149451824,2.25
34,14791.204001273125,4898.685634839297,65723.85913748102,0.0,42.567445197290375,13246.381619387581,13663.41125413126,23355.582020662,1289.6428050100399,2738.8743511719554,3954.4535425525496,2.75
35,18580.628940326795,5784.482922060929,65653.63017181303,0.0,62.87982981060422,20282.6761472867,13542.3551506906,44281.55066347181,1278.2333285154077,2715.1960341439526,5429.386316981545,3.25
36,24893.94123577515,4576.971614059245,66929.8743100159,0.0,13.472514401793086,20281.650133053165,13844.99540929225,44731.39709519402,1306.8177867838872,2705.112012434365,5369.018791517772,3.0
37,18119.673112492772,5743.589043179844,65634.6969868149,0.0,26.48055399285495,21329.619110461907,13516.869655229411,45531.91988370865,1275.845291786015,2855.7973536921977,5971.182728868319,3.75
38,19575.864745184583,5068.969623216172,67799.97654301762,0.0,16.295665695127887,18965.8589434875,14042.507999116484,43948.802816225725,1325.4615018419647,2924.3706655194214,5648.274257490447,3.25
39,22112.123655819658,5203.317110773365,69209.88096012697,0.0,18.199242654422356,20990.616497449024,14322.84844918959,46285.9805322726,1351.921156749847,2988.272585651113,5616.095181995572,3.0
40,22774.113822990275,4041.260176928535,69144.92519798111,0.0,19.56602429043732,14061.406701512818,14367.448066246674,31465.626883293073,1356.1099546471032,2986.4779173566976,4263.874444769593,3.0
41,31419.572624934703,2026.8028760697832,65058.916326981765,0.0,0.6513008440644399,13211.442873497077,13494.569846700871,23332.163671302023,1273.6970150942248,2420.2537655780816,3893.343786747195,3.0
42,38898.74673630002,2996.790140963411,67563.80199147182,0.0,1.9028699937201345,20273.626778760467,13829.06697462901,44698.47804930613,1305.2794734142715,2524.712492232248,5407.032541656379,3.0
