day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
0,56058.24933174041,7295.544643904022,118846.1680613377,0.0,33.04496529050154,65569.79168548717,23625.603896933946,111314.1131207732,2377.8718298281083,4800.7323463225885,37110.373101957186,5.75
1,41462.96780346212,8712.876606063974,118983.57253612166,0.0,65.75154921761109,40228.21359539323,27575.30181444743,93940.20198087016,2568.8488510837124,5681.208071906013,12919.50311714639,21.75
2,42052.78940698122,9619.532204583198,119336.80304821103,0.0,143.76702288818288,42049.472134842814,27326.46270997129,97732.80957719836,2587.039019955059,5635.968207780483,13725.970626204287,21.25
3,34927.09993223,9475.237888235295,118577.05494427327,0.0,67.32408923892714,53155.19890434294,20069.13663826365,104950.98565755,2615.7852963329874,5425.670307777005,41888.20614293603,6.0
4,21428.59726033661,14163.21798478615,114937.68738488165,0.0,203.78582570203136,34804.306385115626,26403.969075024637,82239.28023630455,2483.114435217971,5534.989917332728,10231.164486180478,0.0
5,47431.18162631633,6725.157685736068,117566.1920537711,0.0,45.89307286878813,25412.402787968094,26829.855346769273,57049.52411171889,2532.398243501236,5644.245583577896,7983.452859167647,1.0
6,63566.428575287006,3623.273362041167,115219.93392003006,0.0,4.309423672858685,24367.090509611608,26537.677937897748,46650.21598545032,2495.9981021506737,4665.425151913895,8293.892887776821,0.0
7,29948.557211689946,12394.62559689504,120786.77920732318,0.0,208.55997948820226,40610.02470648032,27866.70550258395,95275.29338265311,2601.424873350306,5742.526537708579,16955.73388041445,21.75
8,15712.933957238049,28971.7745567729,128671.29128669611,0.0,390.46322355727847,115622.40423952715,0.0,175899.8667458691,2754.244261088086,6039.716584331654,71392.32405644289,9.0
9,33295.628168439755,18004.6539674365,125376.47088507282,0.0,175.8319010536407,100043.1964433597,0.0,156004.02648957205,2701.3894267749806,5834.104416051306,58157.0709402365,8.0
10,38360.589113105736,10035.78066838777,117182.6745334147,0.0,92.19601506432653,34071.91684522855,26778.88435584689,79952.01512105182,2527.635327590988,5642.363817798914,9402.39193698687,1.0
11,35101.64250760227,17592.73120929686,123167.91394651162,0.0,160.0373571636145,98538.67814458186,0.0,153678.51669139334,2663.4360995535217,5695.564374745551,57256.38339867587,8.0
12,55463.09894911256,4777.451628662998,115247.33954772686,0.0,15.923009606089744,25647.058546585955,26367.93074153518,57363.780517083986,2488.7935462734767,5242.973309483699,7699.86950009635,2.25
13,54206.266927447665,4564.663475129903,117535.60010643199,0.0,17.974762801576233,24845.725216250914,27052.520793884305,47551.71779918803,2544.5040506870105,5311.039750659376,8520.411254818802,0.0
14,26323.658837358635,11818.314777054678,117271.85305322407,0.0,159.61068198264735,39716.93864149899,27270.801331338465,93151.54164895976,2546.2194008071706,5611.318836225555,16550.383831053863,21.75
15,31444.678293460267,11951.895616809934,122758.24178287692,0.0,163.44294968011175,41564.705666216316,28498.6258600036,97525.24512695592,2661.929153602025,5873.555014276613,17407.816449028014,21.75
16,42827.404305033626,8610.736691305287,113080.54759898744,0.0,54.26575533210265,34975.22773792465,25890.07770163784,80970.7361403202,2443.74313913822,5433.54405101512,9261.01833007752,1.0
17,38627.512704538705,9539.290113251853,116098.71282932372,0.0,66.27288848461879,33830.25410592293,26704.74984736282,80269.65922120737,2511.8684507497946,5604.09879224696,10694.034049171958,0.0
