day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
0,2579.825584475883,383.3248517567379,6416.719357074453,4.2349101643888606e-16,2.438634559543698,7319.79308523393,15.199661279532686,383.37579029417236,1039.825146391208,22.25,2018-01-01
1,309.69042714433607,57.748136624512945,859.7943977329954,2.552079877021634e-16,0.444699610974185,1671.7708630355971,13.048877342846128,105.23759077786103,231.1901990825105,23.0,2018-01-02
2,376.9279231782337,75.57896142817222,970.5396901034264,2.533441715647381e-16,0.4264540980017875,1417.638047062374,20.68681811936985,94.43909438821623,165.2813519207823,0.5,2018-01-03
3,726.1446847750708,478.76848021745644,3950.7825769100896,3.9475570155101267e-16,5.843834726262275,3809.4371341267115,1.7647694494371536e-07,260.98408003130066,542.8800604336707,23.75,2018-01-04
4,4652.03529851049,897.2463091230104,11835.83988434451,6.898340119222644e-16,5.838882046992443,11219.489209000223,-2.273379415441923e-06,728.5326802309341,1722.6214385651472,23.5,2018-01-05
5,4499.983830586636,334.32501473583443,10236.768675514852,6.495967656730827e-16,1.2346032251185963,7669.169210946851,1.387459194880187,555.4520355266752,1516.9930601454332,22.75,2018-01-06
6,5185.511094219836,347.94643887890845,10237.62884184487,6.900119231811746e-16,2.332645587499876,5661.667490349454,19.127442945365242,557.7676917183084,1098.4630187677994,23.5,2018-01-07
7,176.44304266944678,83.71942658301315,699.6452011686473,2.57147673293935e-16,1.2452253218260736,1998.6976214421513,6.9036457096544614,130.82227349946882,316.72785428789166,23.5,2018-01-08
8,2056.237023777786,524.123280537343,6553.369488360648,4.353464330175801e-16,5.21943427492631,8642.718928564285,17.971136298375725,449.4387775865096,1772.281116498511,21.0,2018-01-09
9,3011.2911702182996,936.783070453038,9773.977221713767,6.244894486118128e-16,11.63371289234976,9639.523291200354,-3.865503663803338e-06,619.6247402672959,1554.2809502024654,23.25,2018-01-10
10,3284.3167874655865,760.9582891807194,10248.018998998194,6.872158607207745e-16,3.6663508403581035,9382.563444567024,1.8962861301117226,627.7170018659762,1604.2670913153154,23.5,2018-01-11
11,4155.169077911025,729.1995618967646,10475.323919014403,6.084986937858809e-16,3.2850030593217636,10137.72411466171,3.4482592548698303,653.4504049099888,1571.788601673568,23.5,2018-01-12
12,4070.7318620796673,420.8696834475148,9741.250995671211,6.264654589684356e-16,1.6285536089880313,6954.083859878424,1.8066292203393532,582.1690911035615,1165.752852798296,23.5,2018-01-13
