day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
0,3316.9186072962852,492.8461531758347,8250.066537842196,4.2349101643888606e-16,3.1353871619225386,7319.7871806164,19.759558915374722,383.37579376869536,1039.8243368174124,22.25,2018-01-01
1,398.17348924710905,74.24748644910785,1105.4489230619288,2.552079877021634e-16,0.5717565262484845,1478.8741676878608,16.96354183279228,93.09478972590435,204.51440225199153,23.0,2018-01-02
2,484.62162186076864,97.17311802034682,1247.8380526029039,2.533441715647381e-16,0.5482979644372603,1327.151081390115,26.89286748401487,88.41105932259602,154.73154319160878,0.5,2018-01-03
3,933.6148821014239,615.559648232868,5079.578581869483,3.9475570155101267e-16,7.513506806742908,3809.438258113089,9.694441553165233e-08,260.98406494292243,542.8801207017467,23.75,2018-01-04
4,5981.188093972164,1153.602372759786,15217.50812334112,6.898340119222644e-16,7.507133553407341,11219.490754608136,-2.577778928980479e-07,728.5325513032247,1722.621502617259,23.5,2018-01-05
5,5785.693496667825,429.846445648076,13161.559319366886,6.495967656730827e-16,1.5873467043344813,7669.1692755023,1.8036926195811136,555.4520306163122,1516.993059517021,22.75,2018-01-06
6,6667.085600940284,447.3597008406013,13162.665473669596,6.900119231811746e-16,2.999116012788888,5661.667589428119,24.865669577079885,557.767701798881,1098.4630388055177,23.5,2018-01-07
7,352.6308262100788,151.75059506222559,1489.9947490064005,2.604463688738308e-16,2.5717967943363242,2101.375258506376,32.626051900850484,115.84998524563335,425.2847505772793,21.75,2018-01-08
8,1168.7387056424534,1286.2782933078447,8504.435798378869,5.106630858442943e-16,16.07794142282332,9827.666333215531,185.24211518277713,398.651354813278,3765.2928186951713,17.25,2018-01-09
9,3198.9469936094865,1207.6043771753716,12337.933315185226,6.311280810657656e-16,14.770300788337677,11476.914825604441,264.45328028405163,587.0888156573059,2467.6620746648446,20.75,2018-01-10
10,4222.693561997896,978.3750635528653,13176.025968399812,6.872158607207745e-16,4.713879870559872,9382.561528892349,2.4651645398171387,627.7170385896375,1604.2667156862608,23.5,2018-01-11
11,1142.035269981768,1883.2746811911143,10749.370069036479,5.756828245090939e-16,21.544479277366847,12190.529282089728,236.2117005786587,510.6504339380356,4239.904811059771,17.75,2018-01-12
12,1735.6110239311574,1502.9274180127038,11743.134035802947,5.863444932333299e-16,9.209481514288594,10565.631642946859,258.37537159234694,555.1088507055013,4558.204316936741,17.75,2018-01-13
13,5074.098192317278,567.5544774722487,13719.12811451864,6.644509377881366e-16,4.04038502404301,8404.135665975626,171.67471237985305,615.5841472790635,1858.1484790609195,20.25,2018-01-14
14,350.0111334472866,2361.1429164354263,7352.581854384886,4.4337867581782172e-16,26.083462825576092,9016.656553897275,158.854685946519,363.12267862275417,3645.1106683231437,16.5,2018-01-15
15,1225.3114404128378,594.6195764590865,5663.630642770234,3.6245104321321527e-16,7.79561335594726,5856.284274317633,1.2515050654172248,309.8878698964096,1181.9970677746933,21.25,2018-01-16
16,388.2321639284332,937.6068024055023,4586.379232029699,3.0581861580026045e-16,12.806192546807374,6085.398871078362,100.26665112665378,249.55984802187788,2353.724751145257,17.25,2018-01-17
17,5770.742625637973,1042.8496189243617,15657.213455759918,7.758196161000504e-16,5.110132642456587,11213.947371181936,15.99740080763854,744.8886475666749,1964.2680361986152,23.25,2018-01-18
18,1262.5453152894268,3777.4407477007035,14036.301532407058,6.6661860436562905e-16,33.46754036513431,17061.45631875179,303.32311551847584,686.22371419846,6873.929095249106,16.5,2018-01-19
19,2732.0042558319674,1401.4573846320693,13889.248059825182,6.158824752898699e-16,4.362500457389349,12296.43186502541,305.1026060063749,645.8421035520269,5338.614656224915,17.75,2018-01-20
20,5835.432179561964,636.0273384699124,14512.88365948904,6.063372153900023e-16,3.88525140520097,6265.901043765515,2.2507217922333513,615.0916174178046,1183.759095649964,23.5,2018-01-21
21,5971.421690181324,941.0295007466341,14088.076812243375,7.088229130165753e-16,3.069120978538633,10312.59481669745,1.4724688526257524e-07,631.2954478198747,1656.6651902864455,23.75,2018-01-22
22,6695.467930068997,1011.4499867787262,15197.892198464579,6.934393754581034e-16,2.9655744173064065,11188.093564945295,8.628052103176741e-08,664.7052374712806,1781.9466858949258,23.75,2018-01-23
23,6334.669646317516,853.2506881701041,14398.85849897413,6.847855561339177e-16,8.150104833839592,11487.113766893017,305.27168316560267,674.7832769900987,2101.535757328297,22.5,2018-01-24
24,6971.767441219324,601.61545806966,14992.214628425567,7.268885749296032e-16,1.5958593703790165,10969.967711999656,319.3503484038872,657.5792984152931,1903.3411297333923,23.0,2018-01-25
25,7126.162767357676,879.0004285825606,14545.586718684264,7.870595143475432e-16,1.523210965125825,10668.90508158008,3.577431412509213e-07,633.3931035402592,1698.877122886201,23.75,2018-01-26
26,5547.176816142166,678.3887513760756,14032.832102736034,5.565081586858659e-16,2.3904804120982726,7432.000713649848,-2.6440222029577853e-08,637.0611137413897,1214.3839734125047,23.75,2018-01-27
27,190.0301800016996,8812.763994320341,14317.406938929904,4.967743988797207e-16,50.82690462553419,11178.66140865569,313.66840132316986,732.8596863226275,2578.7472880027035,16.0,2018-01-28
28,367.1893457794203,2428.394308124129,8314.836615532664,4.375483132388438e-16,30.759082235784007,10726.304966635736,179.07976283394422,415.9323591258881,4416.471998375758,16.0,2018-01-29
29,1527.6692197441118,2133.646428155201,13221.404558532735,6.723917417556673e-16,20.23589210914177,13398.935597416095,295.7561295491973,644.1275191334348,3808.582941296734,19.5,2018-01-30
30,146.70814901488853,8147.014845177632,13716.463978791442,5.893098704921889e-16,48.50599341063471,16792.469713835915,292.9088107891653,720.4776912319727,6834.045402923271,16.25,2018-01-31
31,103.5701807217071,8603.01948240774,15402.613062805473,6.711005853231698e-16,54.403368145103606,16196.090930856288,63.161492343379635,772.5745352309971,7044.504640348453,17.25,2018-02-01
