day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
0,755.8296686040593,1776.9195992068096,9368.954573099447,3.890089318876819e-16,20.46714750382778,2028.6570101037735,1309.6794619944749,4753.112145149176,35.75380743927134,248.94531271937507,675.2093215285441,50,2018-01-01
1,545.6244984989798,116.26148607155457,1609.0485923610725,2.567583198902318e-16,0.9397477542520386,162.2404307766585,111.32272384450695,384.30995730694946,2.575556654302129,22.966495105862435,53.52372705526239,50,2018-01-02
2,709.507443427198,126.62768183030202,1786.4762179164752,2.553575282079432e-16,0.6849451327858539,221.74996265107598,162.46999580699554,512.7627870557576,-1.0604471012243266e-06,34.15880944414516,59.78260726638158,50,2018-01-03
3,1073.0557024637856,764.7787188404862,6211.402335208578,4.0055951992717816e-16,9.282993495798802,141.16793875087473,130.9679112746287,388.7180530876871,-2.8897399744209907e-07,26.630975895464186,55.3957096309464,50,2018-01-04
4,6836.651971929586,1318.5972064894895,17394.003685107848,6.898340119222644e-16,8.580854259312531,4179.382661087483,3061.375777579325,9632.897930014247,-2.577778928980479e-07,625.5078777077023,1479.0185157711817,50,2018-01-05
5,5792.555735396085,470.26620758711834,13471.892342606694,6.528922846299334e-16,1.7015723881339628,136.5605193812468,147.33893060653446,364.805559342955,7.053504606858496e-06,26.422133868759474,72.16078924766772,50,2018-01-06
6,5633.7590611873875,287.69416887889207,11034.045048044405,6.99289706461093e-16,2.322797876474967,223.5570734053389,311.04885246438533,574.0217056615231,4.27491293123694e-07,56.55034745069139,111.36967253517057,50,2018-01-07
7,382.32298181656154,155.88645126805147,1576.9083834741898,2.604163250928897e-16,2.7270039697537047,409.8826311691888,229.19299661238026,908.3904624544373,1.0428937272877193e-06,47.28464411234864,187.01497995061968,50,2018-01-08
8,1531.5354878687992,1316.6178614561923,9693.893392620812,5.134585170339282e-16,16.2229141411418,5925.97326504495,1908.857515935416,9827.665463711044,-5.7887840651346775e-05,398.6513091831003,3765.292462606262,50,2018-01-09
9,4092.8426423028595,1545.0506852816457,15785.574658632902,6.311280810657656e-16,18.89763242017,5014.155386895876,2714.310678802793,10961.251239260373,264.45329012923963,560.7103345771898,2356.7878167689732,50,2018-01-10
