day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
0,196331.92067716108,6541.198437188064,26627.959419649724,44.618099149337,4337.852577352329,33656.219195250145,349.63156493868655,3456.7468898441884,42049.833487673066,6622.992763023694,5.0
1,162088.01386023025,6869.48438579845,21063.500005944334,89.4106900129959,3240.744440511669,15569.87099579375,90.84649059881671,3452.886740386886,10945.923714052926,4401.474086904515,2.5
2,123806.34021453744,2179.0839691639962,16198.088298154269,137.98879344928488,3163.3447804505126,15074.403631332212,31.852625281487988,2034.4202169148089,3842.254498463539,7245.315470625206,0.0
3,133064.52676252642,967.4419795197631,18623.502533986186,108.98613493345135,4435.2285302255095,39915.06461490907,614.6030866537382,2619.9933447810276,73870.95437670211,7486.635731869464,6.0
4,71757.2928512433,1870.072109215633,9926.7551531122,259.3813824914639,4242.514084311943,36211.6320342834,369.52582376360004,3397.4322493611994,44429.25572456322,6539.448943768734,5.0
5,114288.19287665008,1525.8068212727178,15096.090918732594,203.2386098489988,3152.35629397852,11903.38906049634,32.05097900711418,2051.8457079339546,3865.925541038074,7243.200722573146,0.0
6,150238.8484903957,7189.307020162022,19963.21678092071,181.84206126216964,3239.630964729992,13349.660844093558,31.643327234086538,2023.6694062449076,3817.653285390511,7143.265360149585,0.0
7,72097.29101592273,3021.2412367840525,9968.371215113344,493.892907551279,7945.981059647971,47759.9552382438,38.074423784527994,3073.4351915923544,4613.166519464633,19594.69222942745,19.75
8,93436.72318498764,1441.6419843963129,12826.795326485155,178.70578668051579,4095.697654187532,41670.90884017533,1227.9302397228087,1283.3682658396299,147533.76547722874,8325.337487274133,9.0
9,206032.66448390708,1771.5653924064604,28651.515000105563,59.30472521801862,4241.707473269235,42520.00622426732,1102.1136386274377,1471.815540063493,132428.49132821575,8339.03021396177,8.0
10,106460.95694555115,1573.379754129321,13849.975162954792,220.65845921554842,3137.35373536443,14999.156673359363,32.005361524316356,2047.9907885065268,3861.3690954274707,7164.492671265068,0.0
11,153682.4137436939,5077.246004910497,21874.470629633397,118.19368727408326,4214.407697952814,41450.60070821555,1035.493905490466,1493.8830700062415,124446.95370465184,8202.610066278437,7.75
12,161117.4295044273,6730.589320181631,21042.296677905655,146.44287039796143,3145.0765403350197,12264.025189406264,31.903569646565813,2037.5212372210094,3850.7068804951264,7169.809795665256,0.0
13,147348.2001915968,6889.9691537372055,19611.79318014373,170.01103150518836,3278.8255834318006,12839.59113936887,32.025991086600726,2048.8489008156316,3863.1606227906395,7249.589034573637,0.0
14,185321.64943582081,6258.576860046116,24322.85565304448,69.33439709271408,3358.73363603896,18186.51576552117,119.04032257318543,3714.4088636946244,14326.309068446484,4556.861882240156,3.0
15,81335.96144108936,2010.093362492302,10683.047836253048,308.1523674924915,3066.2736584158065,12593.117555354536,31.33465861906182,2004.3504507062337,3779.059684288493,7052.08899025903,0.0
16,93842.49175985069,1695.195733460355,12198.068883137632,258.66426307106957,2973.7337277270726,10961.726733581996,34.669480631152,2123.8000715433336,4201.049632644395,5810.354764648233,0.5
17,98826.5530876118,1791.7025328502475,13093.333157401872,284.02073119899626,3104.8914120863437,13767.030884300426,31.850881938196363,2035.384479459894,3842.7283972816476,7193.0011767035785,0.0
18,139841.77189592776,1072.0405673305393,18239.605762461735,132.06963449905274,3101.707934063759,13076.913914445406,31.52497359506545,2018.4779236272248,3802.860557512052,7138.768236637103,0.0
19,239421.05952723528,6691.0028366488195,31113.625885833357,67.83973445769928,3058.720006170707,12238.957559363424,32.24536178413164,2055.8168502474928,3907.1189754630477,6361.271123761469,0.25
20,255300.1727343163,6530.555544310536,33211.94468281825,65.75735932204218,3040.1681216803545,9488.961168276963,34.72023129141964,2128.2345557628264,4207.395232734243,5813.049174344759,0.5
21,124556.89797621565,1087.1645667540608,16634.97724569012,154.92313381566444,3254.864201559903,12961.31592005396,31.931172582016732,2042.4492812968451,3850.911118004361,7237.194783867954,0.0
22,147465.5604033923,7011.9159806675125,19396.21777727836,156.44711851632053,3014.069873088386,11394.501051966161,31.713060965751996,2026.8109108564367,3840.0102587458728,6249.286087276434,0.25
23,167765.26237908765,7290.911791172483,22151.445844730606,189.0581707689742,3190.269385869266,14203.62632062264,32.34637884264145,2070.5637911514445,3901.754393384366,7260.241080003448,0.0
24,195146.65990251684,6752.564852446091,25068.151883603023,93.5366266829699,3094.545044953552,11333.486264364205,31.56671698165963,2020.4941969964077,3809.2922593900253,7041.096774969441,0.0
25,198192.9223528286,6961.538129520173,25886.604634036034,100.38036290530117,3154.61095743628,13083.226754209229,32.18570070259564,2058.1151578202994,3882.5377624116713,7268.364139644626,0.0
26,213248.91094001234,6861.962767486335,27875.688567004643,83.02661530522609,3162.134440157192,12349.293853143494,32.17126969423709,2059.160195271231,3881.63047329388,7225.82392410066,0.0
27,214820.87043836687,6038.346028412148,29325.091746243605,78.37322043712697,4038.5513211366224,29025.404012611936,551.5955608170372,2835.7629730382514,66303.10465860832,7284.261953465175,5.75
28,59551.87421438642,3852.1549329101917,8001.882052367676,465.5099954690715,3231.850956307646,14143.60184886274,31.508605538605092,2014.212156297401,3801.96598027243,7104.5292165203755,0.0
29,113437.5868710702,4398.93442313822,14945.486264168228,208.6867513401727,3135.6479708059674,12628.385293291934,32.020664204320724,2048.661781968997,3862.964351391722,7184.996761258639,0.0
30,92262.12784561818,5551.806688143608,12184.641156736869,338.97612967469865,3132.6898320103787,13251.279139526268,31.530106772535277,2017.9132741055448,3803.212252808038,7062.158492685318,0.0
31,68943.06573687006,2189.870082535559,9193.957664897891,410.81883456755844,3070.0451879224474,11871.7314959587,32.73504754427128,2078.5182791815605,3987.806689931182,6471.313107295568,0.25
32,74071.49052599838,1981.4170602619724,9677.910646434339,359.05784632966555,3082.925795086846,11711.238150301797,54.667662086728,2775.927847730304,6603.288673896181,4649.887067691491,1.5
33,70264.7258964633,4408.171975511333,9243.779244256588,390.1664393286945,3047.875841888842,9457.696146537162,54.17981652228509,2758.9737373667353,6543.202676645945,4653.409952861167,1.5
34,25609.079587835084,3774.1166280898788,3564.466824859685,784.6843240460666,3098.8491174095866,9494.921174729045,39.38706443072509,2309.3646307820713,4776.9307645462695,5533.641583732992,0.75
35,30593.58752624916,3528.4698367381534,4297.074397614161,736.2131698780994,3115.0824400679176,11196.570183940608,39.219703474728,2302.3083519567685,4757.055149809336,5526.956661241911,0.75
36,57504.729032122195,5284.749534630783,7691.562309647504,438.88784800486627,3016.9141134555857,9411.8761453603,45.668233458085815,2518.6412738020013,5521.27428220903,4614.630249862766,1.25
37,41796.78033237128,4579.261398014458,5697.901083588081,550.5184773265715,3048.0355030786395,10941.867438475318,61.17256016984873,2901.916264992306,7381.489177363784,4459.516353128724,1.75
38,35421.53461721025,3137.517464355248,4924.014652587336,649.6559575304424,3107.3492961030825,9345.30571009752,54.55085808618837,2778.0860098729445,6590.231710608659,4665.535898191648,1.5
39,36875.0618687104,3046.6896541640626,5120.47427204681,638.3821317664998,3101.3939506729985,10099.92977157726,54.617879950511266,2775.5032467863857,6598.4340923696045,4652.830799691823,1.5
40,42915.665102955965,4598.5743850236695,5846.93166865181,656.0288457854241,3068.6961186653803,9921.199408598952,43.874042653776726,2486.9163968428275,5313.485074213385,5200.297663545343,1.0
41,98158.54694072455,7220.869257719948,12917.770340225512,230.0925372251373,2970.5399107102417,9321.32902554562,74.57577080556945,3209.858002716826,8993.08498981353,4247.001885780404,2.25
42,20432.994577620077,8443.59481868492,2697.424954029309,1825.3446031681954,8729.259195731078,49509.61785875513,147.5451476203011,6463.968740991334,17696.592378005622,17775.829751920635,17.0
43,141016.1146926509,5219.492599579287,18406.043569759713,139.25260837676558,3102.363443247959,11150.585243117874,54.253811759774536,2762.1251209235834,6551.766584221995,4663.033692093023,1.5
44,115148.69465565466,7427.539905182646,15375.063932602716,255.28485263298558,3156.473332333774,11756.896504814566,32.255918696286535,2056.598255451766,3914.085423682627,7278.002624655155,0.0
45,170509.01145106237,6897.67899259206,22334.76494149006,105.59680923039626,3028.8042958189776,11333.035125861292,39.32139850007345,2306.7352816886632,4769.155162908355,5529.709037102885,0.75
46,197392.0342824274,6858.411916184694,25763.960518215248,87.75594245891644,3072.917818150892,10484.743263222437,60.9502839001651,2910.6262017821314,7356.981862697491,4522.723031723394,1.75
47,110642.00291247254,7377.2141727357985,14763.71810129114,227.94787388645616,3076.283415014702,10295.184995059773,32.77959965061309,2082.7778479574595,3992.2711015438467,6490.958213308385,0.25
48,56632.71596946951,4318.08569154664,8618.449414755618,817.3473255075008,4196.637424478082,44446.49876986426,1205.4487626007015,1246.9287106530362,144941.25334863836,8204.098203482665,9.0
49,177351.9734352674,7140.00874645458,25685.95424732792,174.82646044700454,4174.894858567521,41893.42617549523,1093.0934835841065,1447.6115429168447,131379.3022263012,8302.848310385825,8.0
50,392885.63439103717,6238.015736092497,52025.59394807385,14.076964391735633,3660.301843861319,22634.787409140245,158.1922293643498,3862.418224892526,19080.511503303176,4974.647758248279,3.5
51,239815.89809026595,6677.175533544307,31369.639468068814,71.67550132202092,3141.281790464251,12154.278145658764,31.925748847331633,2041.2851153876525,3870.4069018216287,7223.568836913621,0.0
52,181654.0278382727,6745.847387546897,24123.895268165903,109.09460962715319,3103.275732371169,13093.85843642087,31.529913067725087,2012.8478933192898,3824.48956397765,7210.226619080009,0.0
53,259929.35206772605,6461.778266465007,33705.12470824188,50.91200426796718,2973.3970324473253,12162.079703741243,34.88090943146545,2132.125794842163,4236.76340012034,5923.5255651287935,0.5
54,295470.14876319753,6468.660901034534,38612.40196982858,46.05750748724745,3008.2525786552087,12372.639544276224,31.810881894893818,2023.6161374221072,3872.8516502309344,6363.648244978917,0.25
55,300040.794389173,6820.380010605994,39038.01929499271,42.69733435812474,3146.353236632369,9162.366432151179,63.086944808875636,3004.571775639047,7614.628073818998,4649.532152053034,1.75
56,173662.4607970717,7068.293668818527,22908.479884606222,95.5069677990381,3209.035677371387,12824.288943626532,70.31000347574546,3167.2249299294785,8481.297656110755,4527.0452397922845,2.0
57,245899.73993064198,6837.304011978132,31913.20539549593,57.90268980192263,3064.859589088373,10629.27630104441,54.37216539879564,2765.51602047822,6566.378294955337,4632.520947196665,1.5
58,271033.8474788665,6668.124167813436,35375.9559238007,61.46125297632345,3058.02322575538,11431.26390048095,35.77127359146618,2184.5638177112937,4348.629622917427,6002.977346055561,0.5
59,111687.34895937915,959.0871399666529,15659.825596807217,155.45059201378953,3241.4444412694615,38257.17894605226,916.4640429770303,1606.3690997697106,110248.56799502928,7108.328881650703,11.25
60,193734.95845900758,6632.5602310081695,25048.126692432965,80.00525610221263,2982.239160663548,11462.259188272574,59.217303815873464,3917.102642445336,7029.7445592901295,3788.624440405647,2.0
61,288190.2320686737,6469.133359173117,37339.16482875798,38.10046497494681,2976.535764658755,10019.770653323012,79.28889939450838,4418.172434279357,9446.369887302406,3853.1462051697417,2.5
62,71265.01562340725,5424.459601129908,9984.907504201348,858.5091497287635,3015.534196707505,42987.0210639805,1009.4119402091048,1451.3420070037312,121393.05921217952,7068.130702540444,10.0
63,41813.07806187898,5824.191389796747,5795.786359046536,1213.1588556931215,2907.3867067497354,38708.6463597334,1006.543268822717,1449.4354674095164,121047.78443161833,7052.37848209785,10.0
64,29563.350139766408,8062.27796520764,4125.509042392426,1738.3266276098695,3001.062231888158,38160.08411939141,1036.0174895923876,1491.514447587339,124592.90420163533,7261.687522247278,10.0
65,25716.505721079742,8832.678544977101,3659.128113777126,1819.5908681258586,2954.7760800855913,39347.66090138549,1026.7056151049223,1475.6239703364781,123471.37298750777,7184.337099527562,10.0
