day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
0,21227.412229394366,806.0959816080901,3162.6220193775407,179.67777320490688,2101.9092003874857,34549.01656611742,18.83670320062454,1395.3327575082342,944.5484801598465,5134.289964969255,22.25
1,29593.16104370928,514.4039467049126,4148.219599665678,91.58992966029456,1752.665819888404,26875.678610339368,18.82796227106509,1147.5147531522828,944.1101746006077,4780.3589038506725,22.5
2,31509.27207685693,372.83236487340355,4255.766931588751,55.83686432098546,1067.9410108344043,16200.543736647767,18.963446679236636,1155.7721712924222,950.9039107688106,3273.592187935824,0.0
3,40256.28977849548,316.86426554351993,5640.129883032626,35.717714211450904,1461.0407099971408,25188.57454423438,237.18098315548144,1504.002524060456,12041.549984882566,1984.9689285138702,7.0
4,9871.045165441865,1140.2483046079324,1487.195508287122,208.67974164735412,1057.784680226952,13451.24927126066,18.81485087672591,1146.7156481709787,943.4527162617492,3248.456567504606,0.0
5,32379.639605040553,445.8074559800356,4300.86296103756,54.548824185681454,875.6855968947639,5568.479563335917,18.47395462390718,1256.1364445919278,926.358799451432,1353.9863810290656,1.75
6,38139.45145783009,2167.2195858600076,5171.615380679027,72.88095056888363,1024.383578692869,11735.093115593598,18.43899090566936,1123.8079720402695,924.6055772144763,2839.6045994730835,0.25
7,22944.434524013606,886.8765048934035,3180.3653799901936,173.77500652423632,1592.1062271864168,26291.158849230913,18.932853425778543,1153.9075930027134,949.3698413114746,4637.958071726776,22.75
8,33052.92595134849,649.0823491612915,4692.15413524003,111.48961221989312,2858.6020292399517,30968.295922209174,20.314840394020724,2218.982038990538,1036.5012915689151,5644.3981443118655,21.0
9,74623.26887151694,1510.7730640776313,10274.233785938106,11.548002816204363,1368.9523778602424,25741.904828479008,460.3054014570496,1144.3183332270676,23312.944051277496,2160.3806438317383,8.0
10,30304.950191989454,475.0072938860836,3974.2852709350655,62.5685907368291,873.3554248806809,7263.131882164409,18.640032285536815,1267.7996049177852,934.6866050769711,1366.5111403506114,1.75
11,52012.74821988184,2074.563117514852,7346.867711312473,38.95287509870255,1342.0327361272498,23749.223155538126,457.59663339146704,1136.8600200682317,23175.67678403304,2146.2999506224064,8.0
12,37498.323887256134,1716.4968703216114,5024.916723079214,66.54951514328074,1028.3836798755297,12086.002333247145,18.42587951133018,1123.0088670589655,923.948118875618,3175.3654714297763,0.0
13,39146.793274732765,2197.294582098457,5275.7458566028945,62.456919913759286,1013.763518769839,10319.559609824539,18.806109947166448,1211.7132003750828,943.0144107025105,2552.37716988738,0.5
14,20410.86364567166,926.2659906342558,2929.084720553983,182.2557905236167,1574.4512928196098,25392.57265853756,19.01589225659336,1158.9685912176376,953.5337441242442,4657.931991654876,22.75
15,18869.183429491026,1036.1249957620382,2713.1537361898777,202.659105589688,1587.587384522088,22901.320324797423,19.160117594324365,1167.7587460119796,960.765785851686,4695.0535572650215,22.75
16,21708.892072660274,988.8688671224871,3133.6612132072573,212.8329664824625,1584.6884951853124,27459.723830982515,19.024633186152816,1159.5013278718404,953.972049683483,4662.375725279058,22.75
17,25950.50867416043,591.3715845066071,3550.5427298828404,108.43265975800873,969.1541726566118,11769.96252380196,18.561363919501726,1131.2662851991056,930.7418550438208,2858.450043603268,0.25
18,51448.861120334695,2213.1690787024777,7033.404224268913,78.98197412277528,1580.5911541879411,25254.79858687036,18.884778313201547,1150.9775414045996,946.9591607356605,4633.918406336638,22.75
19,59500.87497031458,1982.6518315744663,7812.972041565388,27.404000610852375,973.17916490738,13501.931021042075,18.386545328312636,1120.6115521150543,921.9757438590426,2831.5279805601476,0.25
20,75637.8718100817,1953.9413888713425,10126.87294844469,22.26578681596946,855.8686262891126,4693.493192379702,18.133058371088453,1105.1621891431805,909.2648826411144,1207.4306291529713,2.25
21,31482.834953806097,374.8396309689127,4327.509091578575,65.27358155861309,1107.7920951379203,12456.353678485535,18.543882060382817,1130.2008118907004,929.865243925343,3198.6849882000342,0.0
22,38504.166332075605,2099.8944766567597,5061.727707239335,52.39221168152219,901.5586515383465,6512.447050130727,18.281654173599183,1307.4806648241638,916.7160771481758,1801.546526557831,1.0
23,52018.40788702569,2134.5111727271365,6955.350483596522,44.829879039618916,893.3429525716969,7028.330272044797,18.950335284897456,1221.797932842073,950.2464524299521,1325.4210958680721,2.0
24,53619.38618192806,2000.6178558664246,6771.046652114857,29.767005590260364,880.836014092689,5326.849217010211,18.364693004414004,1314.2061200467779,920.8799799609454,1408.2872872708158,1.5
25,50602.7560881504,2065.5877082826732,6722.654929025617,35.71606772056437,973.8219743199677,10775.43382004387,18.727441581131362,1141.3882816289538,939.0696606693599,2884.026003494232,0.25
26,56219.905897879486,1996.147148847428,7236.358632841724,23.55799160469237,908.97812688274,8151.644151540497,18.504547877365273,1323.0997858490607,927.8928689087678,1825.2002809780565,1.0
27,25538.16856675955,604.5477731047947,3518.9606133687716,106.91101162162546,1108.9475443306544,15743.92539729357,18.54388206038282,1130.2008118907004,929.8652439253431,3180.3483581799946,0.0
28,21323.11828941863,795.3058488617218,3089.285475095107,167.97790581752002,1735.5538401045362,23639.765095154315,18.915371566659637,1152.8421196943086,948.4932301929964,4798.106380690547,22.5
29,33710.507777023355,1710.1506164780296,4451.423608290367,49.25516228062764,872.7943588979896,5835.084585608682,18.487066018246367,1254.3463942279363,927.0162577902901,1352.3963793077896,1.75
30,29948.033389139837,2214.1074816554037,3964.4041948628806,73.11823896135637,871.9537768742057,5867.599233398618,18.456472764788277,1188.0611650850474,925.4821883329539,1289.0761412681516,2.0
31,26615.327311543675,490.4360757218755,3370.5592904874675,81.72192866279708,868.9486404490443,6202.4279009563115,22.585871908244272,1343.238887554044,1187.815692664341,1057.4211447244365,3.0
32,21272.356781681618,623.1063404110995,2763.822265617996,109.98171712503273,892.3067286896289,6754.099938853718,22.020471780424817,1319.2344547880853,1144.3939507423388,1162.9551572766811,2.75
33,15305.062767233681,779.218664376122,2122.9289810119476,147.32229023618694,886.4120976109859,5325.512084812078,18.99841039747445,1157.9031179092324,959.2881571334163,1273.8934129674928,2.25
34,8683.251337207974,1017.6631840084194,1191.1560594766265,204.96738896021964,876.7089394069535,4450.219091247894,21.232637997763455,1271.8149119280442,1103.764754216323,1118.3176513266742,2.75
35,12505.46990599106,776.0471355190149,1682.6147028914536,154.9076737505018,867.1006965599097,4993.262911572272,23.46801572036291,1386.5685954781086,1247.2015196650723,973.4080029275049,3.25
36,19486.91465512439,2386.20452026144,2527.6898066000267,108.73948817733674,885.7325811368686,4437.198786595702,22.72158634087791,1351.4691628076569,1194.7268865868177,1065.95640820168,3.0
37,14313.094429443472,1917.8753934111878,1940.9223917266304,122.33475713235273,875.8640958773464,6099.489653926008,37.181154052374545,1815.8402466321634,1899.4123952156124,1004.8832912387585,3.75
38,11395.185604765345,822.6389535120478,1567.010413093678,168.60676848377528,886.5157296844332,4665.215365157018,24.334747893521453,1437.7780213755595,1293.263772920169,1009.3583808290853,3.25
39,11426.156679455693,887.8057068678456,1565.1418396422594,182.56329690978035,904.2097924228965,4585.6655453831945,23.541623548232,1399.9767213733876,1238.2264252032091,1100.7523780738807,3.0
40,14804.818448448254,787.0850167176055,1964.3260974500126,163.92317987838908,908.4320730228346,4441.976394673328,23.601659932837727,1403.646071592662,1241.243208130082,1104.9191622457015,3.0
41,21918.61772343021,2206.433865600051,2889.7508280936518,85.31040712382035,865.1273288061826,4173.173488665286,22.201731056552454,1320.1352305816333,1167.9800779707098,1035.8990875271597,3.0
42,61229.159165745354,1999.9480246328158,7891.9971150084275,20.33503412048218,884.1581484397107,3864.220042823736,22.741138420155636,1352.2903501373212,1196.2411255142115,1062.184709203326,3.0
43,34457.59604342019,834.9848264413885,4629.476198137848,55.926065386074185,902.0458191359508,5969.930215848999,19.085819693068995,1228.419417007822,963.7017212334091,1342.3833176205671,2.0
44,2545.706290995036,4572.789647666993,315.1643121293639,1077.3295924266995,1423.6202336517813,22692.627871271896,270.1400382061773,5265.075917691235,13651.065456097163,2783.1097925512126,16.0
45,52244.289293784044,2028.8710583651143,6901.190521817283,25.38394999787127,860.2018028928793,4286.810173427438,19.97992477721636,1206.5174078253735,1024.7894144832967,1185.9543347171002,2.5
46,57199.752382353334,1978.4615122682083,7351.683406598402,23.312955019812367,860.5346846091767,4416.167650026729,22.388510919770273,1331.1382207012896,1177.9528006312116,1043.1992649215833,3.0
47,21712.597451974234,2284.7211174211097,3096.4671777850044,113.05716839628947,968.8042449170184,11438.36201954525,18.570104849061178,1131.799021853308,937.661693043452,2872.0390413650534,0.25
48,9868.377656500852,2038.5903909208084,1454.8453522006823,427.1544575787672,1215.4797661959665,29781.008329390137,733.5314478466385,660.3795284614116,37158.17497180816,2076.628180283109,12.0
49,76795.51403182474,1913.3991658050982,11022.092997479467,8.010952982284365,1326.8979013409078,22433.39628313145,452.52298383112776,1115.5505539001301,22879.19070035644,2133.0429871183746,8.0
50,71585.34868205218,1921.5073586020933,9170.830460684485,15.803213233873455,911.6709143014834,8775.362841282782,18.487066018246367,1315.6065089719873,933.4688071484591,1831.507067466563,1.0
51,69410.9179503711,1984.8772092862396,8969.570678643551,18.33609733181091,903.6473705065347,5932.908698773317,18.967817144016365,1349.1532765233253,957.743409698419,1457.3729336294323,1.5
52,50156.297784008166,2034.1033158453408,6804.612209032782,50.82959497778546,1032.322182928551,13859.935573253273,18.591957172959816,1133.1308634888142,938.7650840684504,3217.8841615267115,0.0
53,64193.238209897194,1949.060705621596,8331.22451543899,19.418616663511997,929.8752923623707,12014.3977884184,18.60943903207873,1260.2083376198607,939.6477968884489,2192.4538988920226,0.75
54,75368.72740249334,1966.452588856176,9883.28779370739,17.685733431625458,958.3676234492318,9602.745649809283,18.661884609435454,1201.0267239152636,942.2959353484443,2539.9824107065665,0.5
55,97528.46064118337,1949.6029822377,12643.896205967249,8.530953545217457,904.0093079443585,4773.996003499968,45.432591556499624,2099.335275082876,2296.923334020611,1059.3592824158118,4.0
56,48828.63193994728,2112.2542963324354,6430.382360806324,35.671612466627636,899.3487702113839,4849.390431366119,21.682795870075367,1299.0553288266979,1126.7727452256056,1145.8193760142633,2.75
57,78950.05650952994,2006.6218333104146,10134.393343995196,14.474688793241455,908.029554427278,6966.8072393405755,38.13713571682436,1870.004336745171,1949.7517717450298,1041.2653645229307,3.75
58,34522.531125823014,431.570152431672,4826.613360703683,84.80909907506984,1613.3473155565227,22953.51586556385,18.963446679236636,1155.7721712924226,957.5227314934195,4678.647098826038,22.75
59,14860.391777374989,530.5871119239575,2013.8143834696962,87.68309734373743,1149.6714625088475,17998.665889038457,420.7908792612247,1309.0588626585695,21307.727982200755,1806.1346671180017,14.25
60,54958.23567005718,1956.4773722462426,7018.945709827317,24.15731428739491,839.4160176791042,4846.691324327943,20.665857723171452,1686.935228149804,1014.2194030405993,902.8672485966306,3.0
61,86369.02851197492,1881.7955480570984,11184.98208422871,8.849985367586909,860.6460648750312,5590.686124906175,42.95384795300801,2909.1469749991775,2187.460673147563,914.2592948275378,4.25
62,92048.92560512826,1854.1797312363121,11740.868884558102,9.333472573800726,841.759458472684,4374.182895132509,31.955688347055364,2300.839464168059,1606.385128842751,873.0721315957929,3.75
63,85713.21153082557,1858.327919746356,11094.765424820196,12.128439279914183,845.5724408087083,5257.583790936472,32.058969330534175,2301.415905470058,1612.6310678077598,866.2041580590876,3.75
64,2204.220788143735,4183.908645565217,311.44324272577126,926.4379036532923,949.056330076196,20846.668681622476,562.4721464414993,864.9494835773411,28508.011539669336,1818.1841716877661,12.75
65,21532.214205850654,527.2532584359184,2698.048441387087,91.17995342954474,857.357925722195,4399.44050116794,21.165700879295,1726.8656345730892,1038.751632988101,922.1981169811303,3.0
66,9413.841474364404,926.3782425717562,1272.160505522511,192.32137042749966,846.6738463594018,3308.7868749466816,21.03182664235809,1716.3739888326609,1032.1807784171135,917.604722177985,3.0
67,3710.8757848093146,2271.429577608469,508.0679592162697,444.2106503773015,870.1527095491371,23202.81568750459,594.1403042109409,852.8708990729475,30110.912935927172,1792.794144201475,12.5
68,21556.389147275775,812.2602497825058,3046.107801233936,178.50992690432068,1806.7431665661022,29902.292637443432,16.71311736660127,1788.758086563428,820.0293623092764,4465.8485633735845,22.0
69,134.67278501688364,12690.008604555074,24.622302684236367,2833.8736731721456,1316.4515946326048,22532.769841072735,234.70039935629305,6794.864183952082,11873.35522653004,2412.1549841897977,18.0
70,2722.5812524490166,4011.6591612735638,266.4919107701685,793.7694791597646,819.4586110860716,27444.892313715827,645.4875147611842,862.5921928898333,32674.033168292037,1835.377410639503,11.0
71,4065.1247881607087,2358.9866699731833,545.0415585645343,459.59207138700435,1292.6247407513815,20756.16946742866,235.68996459220816,6864.0702637146005,11923.118670232587,2432.5885656324604,16.0
72,29996.041673557316,205.74385469183346,4311.88825142349,23.57523133279855,809.2901739279821,25120.998187785783,635.4858211250096,849.2146602480125,32167.791603304773,1807.0112782364781,11.0
73,82825.82177066327,1927.7334186109565,11562.029368919251,14.058707713376,1334.4698223709174,21650.999358656078,213.98071590899232,1970.7564312877628,10810.960178115965,1779.1183666847262,7.0
74,10363.417030184293,1123.564121897352,1510.8852191627382,200.05164513983055,1176.105679987525,17518.473722711336,401.2190178797576,1464.6911134646582,20307.635713097723,1808.7167038115217,14.25
75,26644.027972153883,2412.8974305141146,3929.4187816863227,154.46670475012294,1503.3535887332566,25151.177627236568,16.55670073237945,1475.4942123267576,812.3547777298727,4125.360059180289,22.5
76,71640.96278584148,1911.1493812872404,9283.238039999818,16.366603674287276,853.1869768969549,3413.761758564337,32.544550970008096,2338.433742154348,1636.7249921960229,882.3743450558504,3.75
77,16351.185643068446,637.8222885454225,2340.9241806857613,109.1253481592189,817.6943476749357,26673.186466189505,642.6531533393,858.7912686782432,32530.60013166089,1827.3994359011524,11.0
78,22462.766980786637,398.8857586952631,3105.427381189588,57.22727744847056,1305.339815048931,20105.270167147868,237.90372001537105,6913.483658612046,12035.219130571388,2451.6263828522556,16.0
79,25754.66991493724,439.32832063666905,3271.9613144996033,65.21208028138037,845.1951038384739,5704.789299277445,27.239266776343364,2045.7211734587277,1356.3151971094794,863.5268670251596,3.5
80,12407.29168832686,709.1008160720768,1807.1332880537998,117.00312908450327,835.5162555881188,28882.0895233246,658.6393934056941,880.1945848268781,33339.68880416008,1872.607959418473,11.0
81,16190.50837469428,859.2023829247528,2314.468849382773,160.79533145597816,870.0701912999971,28055.831994466647,681.436887819062,910.6781166165516,34493.62361268862,1937.3181989628754,11.0
82,9502.459003712456,1649.389775882231,1379.1727279074578,329.5473785473897,1129.1216097538738,25738.236168333126,473.8653434973085,848.5717418764684,24021.354818176405,1783.7570157741511,13.25
83,49277.58613056871,1972.2633457520092,6361.80766187259,30.19809564532,850.2168041900321,4293.996827696543,20.715312982521,1689.7051827223033,1016.6485582126842,901.382840210005,3.0
84,2833.137885450669,3504.8148353432143,367.67797672687,784.9933921772625,1038.121704945394,17483.543588044988,436.0046971839174,956.362354934579,22094.789851193553,1711.4599883555609,13.5
85,3930.9216404561116,2841.6894685581706,462.69144520231777,598.6983720993293,827.2192974536009,26757.091799153022,651.2215645521864,870.2393561320457,32964.33263510172,1851.7765809350024,11.0
86,10767.278290633887,831.424435177844,1491.954060654047,170.40367115542688,838.9009565888307,5590.856112983659,19.25902811302345,1612.419953777765,945.1115316168426,957.4071381479425,2.75
87,705.7409092870686,8332.710618742698,41.899125261568,1819.182017804319,827.3072394374235,26017.87391657903,648.0382560213103,866.027148182237,32803.07025713528,1842.4689437402596,11.0
88,0.9030518250676364,21060.98648022082,7.333760965888729,4733.829531445824,993.0407844717773,21639.947373325995,513.3097082321955,848.3670201052075,26018.377997027892,1783.326676325231,13.0
89,918.4456431851906,6762.795989429965,67.75639296311856,1534.8984170713552,852.971383443224,28061.785717618954,632.7386389742577,843.6584193662067,32046.33248876685,1813.1936578106456,11.5
90,857.5295481840225,8646.229214804755,78.48066607402471,1976.120202227553,819.1702814761162,27624.084129978186,633.8008919401935,851.4378466741211,32140.371404129182,1793.5466873890311,12.25
91,729.4135741393883,7072.420634545344,94.88116809009381,1612.368718855472,839.2467196750075,21068.895314448502,580.9879655175071,833.422330803161,29462.49138651272,1740.1818838555864,12.5
92,773.9035012371382,7274.231119361628,108.40738128027998,1650.9452255079912,760.0773361483796,24844.23252497354,602.2548771601221,810.9029359644612,30550.75612394931,1693.1614939700266,12.25
93,1633.9140206299699,4197.765125456762,181.87235185186168,937.360046227799,778.7074773820466,22117.263773828054,612.9208814428155,823.3909640113765,31081.551613822827,1734.4418776416708,12.0
94,3968.179598465723,1349.5169088782393,522.699355200948,265.5692947592726,773.9039854991578,22935.609611312382,608.3553559192351,817.2493108735493,30849.985430934572,1721.5728806593306,12.0
95,11031.572814037352,616.441732711984,1609.2869721778882,105.101518137312,772.0921675571221,20430.98250522397,606.0401597082902,814.1784843046356,30732.79632101919,1714.7838902589763,12.0
96,1710.5479050437207,6860.755514363468,171.2176187678108,1533.134831627055,806.2680883319309,25583.8170665401,626.3368281698057,841.4064798823367,31761.841502821484,1772.4503933645335,12.0
97,1604.5364585605794,7643.454666768935,167.35427318113955,1708.5306631504875,821.1543998468086,25335.735914199515,634.0746210500816,851.8472902166429,32154.480910929018,1794.0697388027238,12.0
