day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
0,112391.6419615298,3775.9903347187465,15245.068222866963,26.862111404368722,2582.3747084148736,39230.115495684884,280.7042263980189,4035.0003971956626,16862.772153309263,3270.665913581501,5.75
1,57351.07022170914,1041.2752192551525,7992.735529148804,182.8872682048095,3831.0367865618277,47046.06216516782,30.996256315674177,2263.0809971420376,1845.7047099550412,9673.80742165334,21.75
2,71375.09189269273,842.1290472505168,9744.257231575859,149.81701448651853,4465.534132040475,50718.34449415373,30.71654656977163,2640.779614256829,1829.0490987039627,10268.276878762983,21.25
3,78870.09777890184,575.3664340081193,11016.835752078736,70.97760710403709,2684.788281753701,39436.066905080836,315.67336837052216,3570.4100637391316,18986.769706906576,3487.2814023185874,6.0
4,19431.62064853393,2102.1775784019783,2861.0825161867438,373.0717840187883,1914.2923386848577,18399.675705723217,30.39267212714763,2004.7696279154677,1809.7636540974506,4959.555877503607,0.0
5,63791.252302567365,901.0309027830093,8495.916993971023,112.84622385800147,1768.4967329101091,9389.053263510246,30.996256315674174,2107.433952131072,1845.7047099550412,3100.592170144014,1.0
6,76652.33944583655,4263.900693420661,10299.692409140318,136.33690304115567,2017.2234912764895,17903.26838867027,30.554609348459635,2021.3360381014572,1819.406376400707,4923.9690593176365,0.0
7,44305.799634497824,1780.9715163906378,6107.451648017533,338.77479773761587,3849.009590522146,47795.74820677401,31.323811149691636,2286.574097635319,1865.209307341173,9772.852105146583,21.75
8,59232.32087813522,823.9808435845825,8184.45021611082,93.1267836242771,2399.4893772581527,40567.171277271744,1245.3611544766397,1471.443336270729,74813.59844802071,4261.571223586534,9.0
9,136861.21925040724,1677.2682564256147,18820.557807843503,28.246810239953454,2540.335825132751,42905.13313029538,955.1845691559201,1759.8823894441182,57387.9707701309,4207.61760585634,8.0
10,59279.863496189006,943.2193261785837,7782.259562796632,126.73960451588728,1753.138169068007,12786.867111347507,30.93737005337891,2102.0799511776463,1842.19826548113,3092.413856205732,1.0
11,96373.07343398812,4053.094460367131,13661.402585931828,73.42187125131636,2477.262439660589,40354.21569564442,940.4831488823609,1734.8636698658445,56504.899305676314,4146.563132981397,8.0
12,109637.3735077072,3971.1268171526185,14204.182640837498,61.13701533718036,1689.1556300692534,7018.935637177183,34.50715600021964,2073.4035036687096,2122.5272130225217,2138.3712979713414,2.25
13,76952.8477614703,3894.3232473251496,10340.009547217129,126.56895057811708,2056.0623710943996,17847.197044676555,31.147152362805812,2061.1877035194034,1854.689973919439,5016.1235658603055,0.0
14,37327.79798836547,1881.3108986220345,5377.609598838019,377.42985169066395,3723.779527592005,45114.32234996786,30.653979916082907,2245.74964666064,1825.323501450432,9562.050521008496,21.75
15,36266.16090687363,2159.4920230150296,5212.064334879168,417.40161409092286,3888.8479871605928,44555.13259206766,32.03412668862836,2351.4144583859606,1907.505793807727,10011.063379974326,21.75
16,48267.10871705121,1064.5792638536964,6415.541763626652,160.5512633951491,1713.9531387543032,11957.6046155561,29.910540854605085,2028.4918811991943,1781.0546399673021,2999.1695179747776,1.0
17,50983.40618545792,1163.698208928543,6928.012923735571,202.36244667289455,1908.2460367398398,18966.06237214093,30.74598970091927,2033.415470064396,1830.8023209409175,4961.527744045056,0.0
18,83623.23745231748,4501.785503003939,11670.963724135647,204.73155335382324,4464.095583267665,51609.64076170105,30.856401442722905,2649.3034007240703,1837.3769043295017,10311.906078536691,21.25
19,172357.82058326443,3725.459045148641,22259.79659156699,21.57135507146764,1682.1433222358614,6974.991957644144,53.71686202595055,2756.966858680847,3290.5511893458443,1988.7497800644992,3.0
20,149960.56650632937,3770.325534397384,19622.714027317288,36.27955501338327,1693.2965546489177,6964.605118312573,31.88632991845964,2032.2404566858327,1931.190734702392,2354.8535662252243,1.75
21,68009.13415682352,643.9293169484297,9092.552797251534,91.73685475881746,1883.6799084505542,13158.81637599129,30.88216418247709,2095.963915500966,1838.910973786838,3905.5501602053923,0.5
22,82189.18447129411,4153.427353487387,10924.535410027107,92.99293360044148,1756.6423859366023,10355.605205746877,30.698144612804363,2086.6691838892016,1827.953334805865,3071.4133249967704,1.0
23,95317.20827157762,4217.981127971363,12625.552069885824,98.18906513356875,1792.695790584098,13349.137550548856,31.31645036690473,2128.6620622788973,1864.7710017819331,3114.0926932337507,1.0
24,114829.96159874178,3918.2366872565235,14726.891003312121,50.911144702872,1705.8156965309677,7895.827821334573,31.47916240745746,2075.4408908622027,1891.0596743088602,2529.9847727648466,1.5
25,101295.53454978472,4083.9798206789765,13283.37902899797,69.93683115893019,1924.4969986424478,16863.380192708424,31.114028840264726,2058.909347542045,1852.7175989028638,5010.717966788071,0.0
26,111344.73768049078,3977.619802389913,14503.32708090281,50.55075690352873,1862.943711668184,14279.568000897209,31.03674062100218,2110.4724057835842,1848.1153905308547,4312.430939662303,0.25
27,138798.47945899251,3833.8974191985503,19005.938541217372,33.69030281568291,2529.6926174849095,33640.79283472449,575.7970398011536,2177.252139093766,34658.52972341319,4056.020153607035,7.0
28,23336.437563393494,1690.929578720911,3346.815245412595,358.65801538834893,2012.2055681687286,20213.34507833457,30.24913686280291,2000.4341268539783,1801.2166956922918,4885.551899084593,0.0
29,62301.29872834048,2134.0311722075094,8251.056293058668,118.28932902411056,1790.3944805867336,12580.235604363013,30.955772010346177,2102.578547359055,1843.294029379227,3490.8629316195456,0.75
30,51818.05987352631,3669.8148202613856,6902.295123497346,186.09259855129315,1761.5875728881392,11383.453872936681,30.639258350509092,2081.0037056010033,1824.4468903319537,3050.6580482905993,1.0
31,53494.71234236036,927.3325293191169,6812.092120277958,156.19726352428728,1723.8640453672526,9440.736418734097,48.51007672826327,2570.336922986109,2962.333715385858,2110.0305893246527,2.75
32,46280.36322487075,1067.1530196665824,5934.01330045339,187.96553036094113,1771.3544599747186,11561.269658653715,50.023686115024,2648.736814154289,3054.1924588964825,2173.932353417557,2.75
33,34246.67290951371,1864.8198396072025,4563.384407461024,264.94866454745016,1757.663597695877,9575.342472443876,34.80856068486255,2147.657143374947,2133.9689203241383,2381.455459430214,2.0
34,20376.224382990888,1736.5013471835257,2792.921667579962,345.91843743231124,1731.4203731600398,7308.645781314982,48.569156695368726,2571.2256406552233,2965.824736114259,2105.6743134222706,2.75
35,19078.56389828921,1967.739951024655,2667.9648252845827,401.07026469208864,1754.3181219192284,8448.757427179333,34.21291839355345,2110.9113408834564,2098.151423922343,2334.4411712461747,2.0
36,31888.61989672561,3161.9238103892226,4263.988829109319,260.78895060120067,1730.1952870880452,8048.6237252444735,34.216211375326544,2107.11162732693,2099.066170675325,2323.705735895582,2.0
37,30845.081817877905,3291.668163920648,4138.661526364469,221.0519584308822,1776.6010516109015,12150.419158430323,76.27301235238255,3400.283971576697,4603.381085142484,2036.0905092798967,3.5
38,25577.373354963904,1402.2686366874586,3511.3835591612924,283.20727995518837,1786.8450336449596,8624.430256581325,63.129947276736,3094.191243117768,3832.3490640114806,2044.6508575300593,3.25
39,24571.83928820223,1551.118192499524,3377.8849158513262,320.10601239431776,1790.1375311560246,8643.613231343252,56.48044855281454,2869.043493327996,3438.029823576949,2109.5761820530665,3.0
40,32008.021769326995,2784.0201567328563,4251.500195734871,298.0738335794276,1783.3052719436948,7909.418925636171,50.73710093092363,2685.8142392808104,3098.520472986021,2196.662886499355,2.75
41,51746.5328227282,4198.0262395408645,6781.7411915374005,132.21389615643565,1703.2124007345278,7759.189804165989,54.697395775090904,2771.0852274757594,3328.3642811283357,2025.806769333547,3.0
42,119082.87545218135,3978.1502630125965,15516.31035669723,44.381161846832725,1766.0163428157284,7485.910864256671,42.609634505314915,2379.114439946771,2613.9187619337204,2186.2227057056816,2.5
43,1314.3952243677177,17816.783258725107,121.76681462889965,4277.157560072311,3362.703979320178,41440.600019423066,367.47778280554763,9484.321163253868,22086.174757121396,6387.223863721349,16.0
44,6537.950612848888,7801.514498895528,775.7138663930963,1812.8317930121277,3300.368415469998,38950.04875181718,364.1015079640785,9344.178638659476,21882.447078946338,6284.982227614662,16.0
