day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shift,date
0,2661.697989097269,100.0195586064963,398.83294177613465,19.528439465626217,355.078004452395,4099.2745237174995,2.1509589668431035,239.66208684587005,134.99808875600272,809.3622251855263,22.25,2018-01-01
1,555.5084829357289,8.240003919388496,77.74658519685067,1.4527849047496793,31.88554949269723,420.8993559904698,0.28753134669689784,17.52418895923644,30.24302753515869,158.44287759134127,23.0,2018-01-02
2,648.3165056960978,7.4495233804292935,87.2633733411367,1.169401852104491,21.040572467479056,205.78009771544959,0.32916653715037997,20.061739429817422,28.928159935842704,88.84279977488451,0.5,2018-01-03
3,817.0617194225467,109.82312056694835,125.87583711692609,21.144311764603778,106.57015121392602,1288.671565586374,1.3436189271209027,81.89000194500449,85.90788187654532,389.9407055612066,23.75,2018-01-04
4,7817.635516078568,153.16304314744826,1088.3635163285937,27.282826203545,341.8253598958276,5594.769946053863,4.002886165628187,243.96534182063525,238.65720632414215,1083.2792728423253,23.5,2018-01-05
5,6067.335361040618,550.9729097762023,879.5214060270945,37.52503712928195,417.7726607138669,6438.1339568465055,3.452667283377621,210.4309444962355,207.31851376614455,1086.137438625983,22.75,2018-01-06
6,8865.499153874103,77.19233526912156,1184.7266981754387,11.88960198589881,326.7838864733391,3651.0082846313553,3.422764377201774,208.60845683886924,205.34611083451085,932.0777815364108,23.5,2018-01-07
7,523.1070653909807,19.641023327264723,72.50588771088451,3.0341435969108796,64.6373739936423,500.00665173855685,0.3843266280832439,42.82188097241639,37.6941617192473,225.99074707737438,21.75,2018-01-08
8,3381.226077177356,99.12699303536498,444.6729313879851,15.383705307664732,269.35465841328704,3094.641668801423,16.222816653847804,670.5056935265056,985.9627047331852,508.59392548679597,17.25,2018-01-09
9,4594.630105892918,144.3151378733275,675.9190207620076,20.199111272568377,589.029454241571,5442.575401043028,4.006435387211892,417.0031391651882,254.3683102739237,1074.9970906088342,20.75,2018-01-10
10,6191.878605506508,147.37546265290987,853.9162993641401,29.786714338728235,303.366138281317,4953.942691383193,3.482755352259239,212.26471259427092,208.41428090263963,946.0042335744287,23.5,2018-01-11
11,1559.234681291279,299.4301296577433,188.60664934309187,50.166680497067766,358.6596361032078,3875.036946670208,20.69464704200128,855.3311812160856,1261.6261699342247,650.7908727678858,17.75,2018-01-12
12,1571.0468806011256,347.69506796334474,198.7829074848645,61.85222180385704,409.1582819519308,5018.665930450778,22.562445327329602,932.5292194973703,1383.3919775094066,713.6017745893313,17.75,2018-01-13
13,4871.935570451968,198.142925404184,695.2809531681845,29.99325262309028,674.7544551724453,7768.814812375263,4.498987752265442,468.2696564826523,283.9664892526579,1200.0831592220106,20.25,2018-01-14
14,515.4286931137163,275.1860217345075,54.16481582967934,50.2822004058861,172.12907065761627,2140.1333934383024,22.336993022849942,592.4576348605827,1361.0231548362658,342.54837489396283,16.5,2018-01-15
15,1449.0363168018885,122.77286627243198,206.13954086449777,22.115326266726406,256.391119316833,2671.979105865874,1.4666360525145112,163.4141199969491,100.59082339094152,603.0799526105875,21.25,2018-01-16
16,334.4679270431159,221.7282990407871,29.704936779729646,42.25844832803228,144.8040065388507,1664.2024685525105,8.772333681270164,362.56963010589635,610.5188996767275,314.92691820825064,17.25,2018-01-17
17,9562.207508041294,141.7247438376503,1299.6115922030826,21.928447481424257,373.97184869911194,4861.850098984915,4.104833644781873,250.17874038873376,244.57444034653554,1110.1374638227976,23.25,2018-01-18
18,1854.6982779185248,410.97452165903076,243.6895682945977,70.90822154220996,327.6985881730691,3705.550056593173,42.69151341132532,1132.3328256812795,2575.3489518125853,648.1755457678462,16.5,2018-01-19
19,2261.3405903611524,332.77742180468766,277.37587231729583,57.61025219195322,482.23277393547255,6225.588293623774,26.688455121099267,1103.0614553679345,1610.0111795534108,830.4998803489566,17.75,2018-01-20
20,6723.233408986628,125.1454917363337,947.5731715075985,24.888597993773732,358.5764529773576,3558.2666739598044,3.8135823998781797,232.42738898881018,227.2610600471301,1031.5524226316231,23.5,2018-01-21
21,7801.331248199862,549.7513187230969,1092.7373844186857,25.394242443056616,297.96580506331765,3722.660669132254,3.725798242366544,227.07759223139365,222.00172696832965,1007.6784790415101,23.75,2018-01-22
22,9116.331407205393,593.881215175421,1265.552806241058,30.35204203257282,319.6515750524127,3583.4512436760856,4.032789148509619,245.78786351355308,240.84882023484343,1093.2267716503898,23.75,2018-01-23
23,11755.711253602802,509.8567542344277,1570.7272560734993,15.874840392448188,464.97603289515354,5980.5031125505175,3.723728348826991,226.95142114824813,222.001632416104,1163.0625775623053,22.5,2018-01-24
24,11206.772503922833,552.6218745390496,1550.5514262492322,20.68087806980039,423.5978882441503,6378.559051458735,3.9098175545876495,238.29310323448686,233.39745061114073,1222.7654621777249,23.0,2018-01-25
