day_of_year,savings,time_of_shed
0,21.55,22.25
1,21.54,22.5
2,21.695,0.0
3,20.81,7.0
4,21.525,0.0
5,21.135,1.75
6,21.095,0.25
7,21.66,22.75
8,21.795,21.0
9,21.48,8.0
10,21.325,1.75
11,21.34,8.0
12,21.08,0.0
13,21.515,0.5
14,21.755,22.75
15,21.92,22.75
16,21.765,22.75
17,21.235,0.25
18,21.605,22.75
19,21.035,0.25
20,20.745,2.25
21,21.215,0.0
22,20.915,1.0
23,21.68,2.0
24,21.01,1.5
25,21.425,0.25
26,21.17,1.0
27,21.215,0.0
28,21.64,22.5
29,21.15,1.75
30,21.115,2.0
31,21.58,3.0
32,22.27,2.75
33,21.735,2.25
34,21.445,2.75
35,21.255,3.25
36,21.73,3.0
37,21.215,3.75
38,22.04,3.25
39,22.48,3.0
40,22.55,3.0
41,21.18,3.0
42,21.705,3.0
43,21.835,2.0
44,21.475,16.0
45,21.425,2.5
46,21.345,3.0
47,21.245,0.25
48,20.925,12.0
49,20.94,8.0
50,21.15,1.0
51,21.7,1.5
52,21.27,0.0
53,21.29,0.75
54,21.35,0.5
55,22.015,4.0
56,21.935,2.75
57,22.005,3.75
58,21.695,22.75
59,20.985,14.25
60,20.92,3.0
61,21.22,4.25
62,20.915,3.75
63,20.725,3.75
64,21.125,12.75
65,21.395,3.0
66,21.275,3.0
67,20.83,12.5
68,21.37,22.0
69,21.38,18.0
70,20.705,11.0
71,21.53,16.0
72,20.385,11.0
73,21.165,7.0
74,21.015,14.25
75,21.17,22.5
76,21.12,3.75
77,20.615,11.0
78,21.71,16.0
79,21.0,3.5
80,21.125,11.0
81,21.855,11.0
82,20.725,13.25
83,20.925,3.0
84,19.885,13.5
85,20.89,11.0
86,20.93,2.75
87,20.785,11.0
88,20.72,13.0
89,20.605,11.5
90,20.795,12.25
91,20.355,12.5
92,19.805,12.25
93,20.11,12.0
94,19.96,12.0
95,19.885,12.0
96,20.55,12.0
97,20.805,12.0
98,19.82,12.0
99,19.975,12.0
100,20.085,11.0
101,19.945,13.0
102,19.555,12.0
103,20.535,12.0
104,19.995,12.0
105,19.815,12.0
106,20.11,11.5
107,19.78,11.5
108,22.795,10.0
109,22.825,10.0
110,22.235,10.0
111,22.67,10.0
112,22.165,10.0
113,22.71,10.0
114,20.01,10.0
115,19.695,12.25
116,20.98,13.0
117,20.63,13.0
118,20.84,12.0
119,21.175,13.0
120,19.11,13.75
121,19.225,10.0
122,19.08,5.0
123,19.145,11.75
124,19.035,10.0
125,18.865,11.0
126,18.475,10.75
127,19.195,11.0
128,19.3,10.0
129,19.675,10.0
130,19.155,11.0
131,19.385,12.0
132,18.395,2.5
133,19.055,10.0
134,18.79,9.75
135,19.065,10.25
136,18.995,11.0
137,19.025,13.0
138,19.375,12.0
139,18.47,11.5
140,18.835,13.0
141,19.24,10.0
142,20.145,3.0
143,18.765,12.5
144,19.485,10.0
145,19.455,12.0
146,18.97,12.0
147,18.965,10.75
148,18.42,11.0
149,19.13,10.0
150,18.875,11.0
151,18.39,5.25
