day_of_year,savings,time_of_shift,date
0,0.6160031438811219,22.25,2018-01-01
1,0.15600016723962448,22.5,2018-01-02
2,0.15700019642618857,0.5,2018-01-03
3,0.3920001246122329,23.75,2018-01-04
4,1.0890008994824893,23.5,2018-01-05
5,0.9460009568262138,22.75,2018-01-06
6,0.9370007138579819,23.5,2018-01-07
7,0.19400007537886377,21.0,2018-01-08
8,0.6660001223504022,17.25,2018-01-09
9,0.9190008074018691,20.75,2018-01-10
10,0.9510004290245575,23.5,2018-01-11
11,0.9840014656930667,19.5,2018-01-12
12,0.9290125542442891,23.5,2018-01-13
13,1.0520063438022225,20.25,2018-01-14
14,0.5410021001504878,16.5,2018-01-15
15,0.5100018573212888,19.75,2018-01-16
16,0.4620002918694935,18.25,2018-01-17
17,1.116001635268675,23.25,2018-01-18
18,1.0280060525294967,18.0,2018-01-19
19,0.9780047940871636,17.75,2018-01-20
20,1.0500011393871307,23.5,2018-01-21
21,1.016006116330467,23.75,2018-01-22
22,1.099012813900901,23.75,2018-01-23
23,1.0130009174453007,22.5,2018-01-24
24,1.0650030969466178,23.0,2018-01-25
25,1.0479999860242095,23.75,2018-01-26
26,1.0240035680159554,23.75,2018-01-27
27,0.9890100132567864,16.0,2018-01-28
28,0.5750011540349573,16.0,2018-01-29
29,0.9590045467992835,19.5,2018-01-30
30,0.9840025007470753,18.75,2018-01-31
31,1.0410010768616016,17.25,2018-02-01
32,0.9830025327004746,20.75,2018-02-02
33,0.9990006501187668,15.0,2018-02-03
34,0.9820092500659868,15.25,2018-02-04
35,1.0500086515477947,15.0,2018-02-05
36,1.0160012385848713,15.0,2018-02-06
37,1.0439979261715275,0.75,2018-02-07
38,0.9450067192554226,0.75,2018-02-08
39,1.0400016211974137,23.75,2018-02-09
40,1.017000762623938,18.75,2018-02-10
41,1.0510014821146987,1.25,2018-02-11
42,0.8080025572024663,23.75,2018-02-12
43,0.9070006901873766,23.0,2018-02-13
44,0.723003177498253,21.5,2018-02-14
45,0.7720015463004304,15.0,2018-02-15
46,0.794000301799532,0.75,2018-02-16
47,0.9790138099250512,16.75,2018-02-17
48,1.0270011614750654,15.25,2018-02-18
49,1.0270265834798105,0.75,2018-02-19
50,0.9380013393530835,23.75,2018-02-20
51,1.0210000227318436,17.0,2018-02-21
52,1.0010234239851064,18.0,2018-02-22
53,1.0290262339364238,16.0,2018-02-23
54,0.9460044052937647,14.75,2018-02-24
55,1.08600017938429,1.0,2018-02-25
56,1.0870003486284958,16.25,2018-02-26
57,1.0580003240800253,19.5,2018-02-27
58,1.0640002068664534,0.75,2018-02-28
59,0.8180004676145239,1.25,2018-03-01
60,0.7440016362602093,17.0,2018-03-02
61,0.8800008851919948,21.75,2018-03-03
62,0.9910014060724008,15.0,2018-03-04
63,1.0090049717483536,15.0,2018-03-05
64,0.6950004298005935,1.25,2018-03-06
65,0.8370005077336464,0.75,2018-03-07
66,0.8480002091468025,15.25,2018-03-08
67,1.0350007895418138,1.25,2018-03-09
68,0.5030031805119145,19.75,2018-03-10
69,1.0230002567115988,21.0,2018-03-11
70,1.0510015130270156,22.5,2018-03-12
71,1.0340091295313258,20.5,2018-03-13
72,1.0100008147770483,13.5,2018-03-14
73,1.0580008665021428,18.75,2018-03-15
74,1.0210001290873782,15.0,2018-03-16
75,1.007000414051254,0.75,2018-03-17
76,1.0450008903080383,23.75,2018-03-18
77,1.0090035082066657,15.0,2018-03-19
78,0.6430010531897011,19.25,2018-03-20
79,0.7670001283163408,23.75,2018-03-21
80,0.9890200062398022,17.75,2018-03-22
81,1.051002306345441,14.75,2018-03-23
82,1.0180012749724379,14.75,2018-03-24
83,1.0510080111535594,1.75,2018-03-25
84,0.9930006485530585,14.75,2018-03-26
85,1.0160007885828513,14.5,2018-03-27
86,1.052000253526829,1.75,2018-03-28
87,1.0060095722635325,1.5,2018-03-29
88,0.998013447117274,0.5,2018-03-30
89,0.9890016375144989,16.25,2018-03-31
90,0.9970002850533137,15.5,2018-04-01
91,0.9960013099200699,14.0,2018-04-02
92,0.9550113345897366,1.25,2018-04-03
93,0.9670082505327996,16.5,2018-04-04
94,0.9350030686329741,1.0,2018-04-05
95,0.9440011629171744,18.25,2018-04-06
96,0.9210120116249118,16.5,2018-04-07
97,1.008000273440534,13.75,2018-04-08
98,0.9600211684034174,14.75,2018-04-09
99,0.9460018838210739,14.75,2018-04-10
100,0.9680157020018946,17.0,2018-04-11
101,0.9590043363918846,16.5,2018-04-12
102,0.9650017111446156,14.75,2018-04-13
103,0.9890003076924158,1.5,2018-04-14
104,0.9600019776788907,1.25,2018-04-15
105,0.9180076902331814,14.25,2018-04-16
106,0.9720020347861189,14.0,2018-04-17
107,0.9620003022622994,1.5,2018-04-18
108,1.092000543469621,17.75,2018-04-19
109,1.0940009871643295,14.0,2018-04-20
110,1.0890001897526922,14.25,2018-04-21
111,1.0760011244251853,14.0,2018-04-22
112,1.0620054411193924,13.75,2018-04-23
113,1.0960002315012989,14.0,2018-04-24
114,0.9680007497878408,1.5,2018-04-25
115,0.9270004397499404,1.0,2018-04-26
116,1.0560002471132994,3.0,2018-04-27
117,1.0030002687039334,13.75,2018-04-28
118,1.008000605318553,12.75,2018-04-29
119,1.0280037043263646,14.0,2018-04-30
120,0.8979999641699716,15.25,2018-05-01
121,0.9300172937759229,21.0,2018-05-02
122,0.9790010938662013,2.25,2018-05-03
123,0.926001895005216,1.5,2018-05-04
124,0.9110045041109557,14.5,2018-05-05
125,0.9810005009464817,14.0,2018-05-06
126,0.9680130530522102,11.25,2018-05-07
127,0.9380103395750712,14.0,2018-05-08
128,0.9190021272537473,14.5,2018-05-09
129,0.9260014269894509,14.0,2018-05-10
130,0.9580000994099068,14.0,2018-05-11
131,0.9500003170310944,14.0,2018-05-12
132,0.9130005912327818,1.75,2018-05-13
133,0.9370172820726376,13.75,2018-05-14
134,0.9230203238234713,13.75,2018-05-15
135,0.9720003177162122,1.75,2018-05-16
136,0.966004985572186,11.0,2018-05-17
137,0.9270009613213159,14.0,2018-05-18
138,0.9300033169608112,0.5,2018-05-19
139,0.9580008419160687,23.75,2018-05-20
140,0.9230003343497406,15.5,2018-05-21
141,0.9350161439972386,13.75,2018-05-22
142,0.8890117438350456,23.75,2018-05-23
143,0.913001719932875,13.75,2018-05-24
144,0.9120047149215043,14.0,2018-05-25
145,0.943000290182877,1.75,2018-05-26
146,0.910004774519557,13.5,2018-05-27
147,0.9280024323726604,14.0,2018-05-28
148,0.8850049769605707,21.75,2018-05-29
149,0.9240002648552444,13.75,2018-05-30
150,0.9240004623447029,13.75,2018-05-31
151,0.928000198352396,13.0,2018-06-01
152,0.9870211424260894,14.0,2018-06-02
153,0.9940004610608645,13.0,2018-06-03
154,0.9660169640937813,20.25,2018-06-04
155,0.9410008991852482,2.0,2018-06-05
156,0.9640081703754768,1.75,2018-06-06
157,0.9620032165769952,2.0,2018-06-07
158,0.944000415619176,1.75,2018-06-08
159,0.9550079892357689,15.0,2018-06-09
160,0.9690010932375296,13.25,2018-06-10
161,0.9800112086028429,14.0,2018-06-11
162,0.9730007310336188,14.0,2018-06-12
